Time,INPUT PID,OUTPUT PID,ERROR,ERROR INTEGRAL,ERROR DERIVATIVO
94,10.022236,50.127594,-0.022236,-24.400913,0.000838
95,10.021440,50.122986,-0.021440,-24.422352,0.000809
96,10.020672,50.118557,-0.020672,-24.443024,0.000780
97,10.019932,50.114300,-0.019932,-24.462955,0.000752
98,10.019218,50.110207,-0.019218,-24.482174,0.000725
99,10.018531,50.106274,-0.018531,-24.500706,0.000699
100,10.017868,50.102493,-0.017868,-24.518574,0.000674
101,10.017228,50.098789,-0.017228,-24.535801,0.000650
102,10.016612,50.095287,-0.016612,-24.552414,0.000626
103,10.016018,50.091900,-0.016018,-24.568432,0.000604
104,10.015445,50.088615,-0.015445,-24.583878,0.000582
105,10.014892,50.085419,-0.014892,-24.598770,0.000562
106,10.014359,50.082352,-0.014359,-24.613129,0.000542
107,10.013844,50.079391,-0.013844,-24.626972,0.000522
108,10.013350,50.076584,-0.013350,-24.640322,0.000503
109,10.012872,50.073841,-0.012872,-24.653194,0.000485
110,10.012411,50.071198,-0.012411,-24.665606,0.000468
111,10.011967,50.068630,-0.011967,-24.677572,0.000452
112,10.011539,50.066177,-0.011539,-24.689110,0.000435
113,10.011126,50.063808,-0.011126,-24.700235,0.000420
114,10.010728,50.061558,-0.010728,-24.710964,0.000404
115,10.010344,50.059326,-0.010344,-24.721308,0.000390
116,10.009974,50.057213,-0.009974,-24.731281,0.000376
117,10.009617,50.055183,-0.009617,-24.740898,0.000363
118,10.009273,50.053200,-0.009273,-24.750172,0.000350
119,10.008941,50.051296,-0.008941,-24.759113,0.000337
120,10.008620,50.049431,-0.008620,-24.767735,0.000325
121,10.008312,50.047695,-0.008312,-24.776047,0.000313
122,10.008015,50.045982,-0.008015,-24.784061,0.000302
123,10.007728,50.044323,-0.007728,-24.791790,0.000292
124,10.007451,50.042732,-0.007451,-24.799240,0.000281
125,10.007184,50.041176,-0.007184,-24.806423,0.000271
126,10.006927,50.039742,-0.006927,-24.813351,0.000261
127,10.006680,50.038315,-0.006680,-24.820030,0.000252
128,10.006440,50.036919,-0.006440,-24.826469,0.000243
129,10.006209,50.035576,-0.006209,-24.832680,0.000234
130,10.005987,50.034306,-0.005987,-24.838667,0.000226
131,10.005773,50.033058,-0.005773,-24.844440,0.000218
132,10.005567,50.031914,-0.005567,-24.850006,0.000210
133,10.005367,50.030758,-0.005367,-24.855373,0.000202
134,10.005176,50.029686,-0.005176,-24.860550,0.000195
135,10.004991,50.028633,-0.004991,-24.865540,0.000188
136,10.004812,50.027626,-0.004812,-24.870352,0.000181
137,10.004640,50.026611,-0.004640,-24.874992,0.000175
138,10.004474,50.025669,-0.004474,-24.879467,0.000169
139,10.004313,50.024742,-0.004313,-24.883781,0.000163
140,10.004159,50.023846,-0.004159,-24.887939,0.000157
141,10.004010,50.022999,-0.004010,-24.891949,0.000151
142,10.003867,50.022209,-0.003867,-24.895817,0.000146
143,10.003729,50.021420,-0.003729,-24.899546,0.000140
144,10.003595,50.020649,-0.003595,-24.903141,0.000136
145,10.003467,50.019905,-0.003467,-24.906609,0.000131
146,10.003343,50.019199,-0.003343,-24.909950,0.000126
147,10.003222,50.018475,-0.003222,-24.913174,0.000122
148,10.003107,50.017811,-0.003107,-24.916281,0.000117
149,10.002995,50.017151,-0.002995,-24.919277,0.000113
150,10.002889,50.016563,-0.002889,-24.922165,0.000109
151,10.002786,50.015991,-0.002786,-24.924950,0.000105
152,10.002686,50.015388,-0.002686,-24.927635,0.000102
153,10.002589,50.014824,-0.002589,-24.930225,0.000098
154,10.002497,50.014305,-0.002497,-24.932722,0.000094
155,10.002407,50.013771,-0.002407,-24.935129,0.000091
156,10.002321,50.013302,-0.002321,-24.937450,0.000087
157,10.002238,50.012833,-0.002238,-24.939690,0.000084
158,10.002158,50.012375,-0.002158,-24.941849,0.000081
159,10.002081,50.011929,-0.002081,-24.943930,0.000078
160,10.002007,50.011509,-0.002007,-24.945936,0.000076
161,10.001935,50.011116,-0.001935,-24.947872,0.000073
162,10.001865,50.010693,-0.001865,-24.949738,0.000071
163,10.001799,50.010311,-0.001799,-24.951536,0.000068
